username,teams
bemaudet,"[""__IRIS_int"",""__DOPSI_int"",""__IRIS_all"",""__DOPSI_SP_S_int"",""__LAB_ssi-ucleaner""]"
rbreart,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__DED_AIL_IL_int_devteam"",""__IRIS_all"",""__DED_GE_GDIA_int""]"
tpeuziat-u-iris,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all"",""__TRANSFOSI_AUTOMATOR_int"",""__FACTORY_int""]"
Uedescamp,"[""__IRIS_int"",""__DED_GC_P_int"",""__DED_int"",""__IRIS_all""]"
PSURGET-IRIS,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
fxribot,"[""__IRIS_int"",""__DOPSI_INT_IDM_int"",""__DOPSI_int"",""__IRIS_all""]"
FranckIRIS,"[""__IRIS_int"",""__DOPSI_E_SIC_int"",""__DOPSI_int"",""__IRIS_all"",""__LAB_iot-salles-serveur-magasin""]"
UDavidCo,"[""__IRIS_int"",""__DED_AIL_AE_int"",""__DED_int"",""__IRIS_all"",""__LAB_iot-salles-serveur-magasin""]"
gpointeau,"[""__IRIS_int"",""__DOPSI_INF_OF_int"",""__DOPSI_int"",""__IRIS_all""]"
cpouvrea,"[""__IRIS_int"",""__DED_SC_P_int"",""__DED_int"",""__IRIS_all""]"
ktiran,"[""__IRIS_int"",""__DOPSI_int"",""__IRIS_all"",""__DOPSI_SP_S_int""]"
juju733,"[""__IRIS_int"",""__DED_int"",""__IRIS_all"",""__DED_GC_O_int""]"
lcormera,"[""__IRIS_int"",""__DED_GC_R_int"",""__DED_int"",""__IRIS_all""]"
chgerze,"[""__IRIS_int"",""__DED_SC_EA_int"",""__DED_int"",""__IRIS_all""]"
theo-lallement-systemeu,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__DED_AIL_IL_int_devteam"",""__IRIS_all""]"
antoinedamezfo,"[""__IRIS_int"",""__DOPSI_INF_OF_int"",""__DOPSI_int"",""__IRIS_all""]"
pprimotgieuiris,"[""__IRIS_int"",""__DED_AIL_AE_int"",""__DED_int"",""__IRIS_all""]"
syblancha,"[""__IRIS_int"",""__DOPSI_int"",""__IRIS_all"",""__DOPSI_SP_S_int"",""__LAB_ssi-ucleaner""]"
fdaguin,"[""__IRIS_int"",""__DOPSI_INT_IDT_int"",""__DOPSI_INT_CIQ_int"",""__DOPSI_int"",""__IRIS_all"",""__TRANSFOSI_RANCHER_int"",""__DOPSI_FIL_PDT_int"",""__DED_AIL_IL_PIPELINE_CONTRIB"",""__FACTORY_int""]"
GThoonsen-U,"[""__IRIS_int"",""__DED_AIL_AE_int"",""__DED_int"",""__IRIS_all""]"
Sfoulon-U-iris,"[""__IRIS_int"",""__DED_SC_EA_int"",""__DED_int"",""__IRIS_all""]"
